5	5	5	5	6	6	6	6	6	6	5	5	6	6	5	7	7	7	7
6	6	6	6	0	0	0	0	0	0	6	6	10	10	6	5	5	7	7
0	0	0	0	0	0	0	7	7	0	0	0	7	10	10	6	6	5	7
0	0	0	0	0	0	7	7	7	7	0	0	0	9	10	0	0	6	7
7	0	7	7	7	7	7	7	7	7	0	0	0	0	0	0	0	3	7
7	5	7	7	7	7	7	7	7	7	7	0	0	0	0	0	0	0	7
0	6	5	7	7	7	7	7	7	7	5	0	7	0	0	0	7	7	7
0	0	6	5	5	7	7	7	5	5	6	7	0	0	0	0	7	7	7
0	0	0	6	6	5	5	5	6	6	0	0	0	0	0	0	7	7	7
0	0	0	0	0	6	6	6	0	0	0	0	0	0	9	10	7	7	7
0	0	7	0	0	0	0	0	0	0	0	0	7	7	10	10	10	7	7
0	7	7	7	0	7	0	0	7	0	0	7	7	7	7	7	10	10	7
7	7	7	7	7	5	7	0	7	0	7	7	7	7	7	10	10	7	7
5	5	7	7	5	6	0	0	7	7	7	7	7	5	7	10	10	7	7
6	6	5	7	6	0	0	5	5	5	5	5	5	6	7	7	10	10	7
0	0	6	5	0	0	7	6	6	6	6	6	6	0	7	7	7	10	10
0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	7	10	10	10
0	0	0	0	0	7	7	7	7	0	7	7	7	7	7	7	10	10	10
7	0	0	0	7	7	7	7	7	0	0	7	7	7	10	10	10	10	10
7	7	0	7	7	7	7	7	7	7	3	7	10	10	10	10	10	10	10
7	7	7	7	7	7	7	7	7	7	7	10	10	10	10	10	10	7	7
